GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
API Gateway,com.claimswift.gateway.exception,GlobalExceptionHandler,88,12,6,0,20,3,6,2,3,2
API Gateway,com.claimswift.gateway.util,ApiResponse.ApiResponseBuilder,46,0,0,0,1,0,7,0,7,0
API Gateway,com.claimswift.gateway.util,ApiResponse,247,0,38,0,25,0,38,0,19,0
API Gateway,com.claimswift.gateway.filter,CorrelationIdFilter,67,9,4,0,14,3,6,3,4,3
API Gateway,com.claimswift.gateway.filter,GlobalJwtAuthFilter,213,25,22,0,47,5,18,3,7,3
API Gateway,com.claimswift.gateway.filter,JwtAuthenticationFilter.Config,3,0,0,0,1,0,1,0,1,0
API Gateway,com.claimswift.gateway.filter,JwtAuthenticationFilter,191,8,16,0,46,3,15,2,7,2
API Gateway,com.claimswift.gateway.controller,FallbackController,77,7,0,0,21,2,7,2,7,2
API Gateway,com.claimswift.gateway,ApiGatewayApplication,5,3,0,0,2,1,1,1,1,1
API Gateway,com.claimswift.gateway.config,SecurityConfig,0,115,0,0,0,32,0,3,0,3
API Gateway,com.claimswift.gateway.config,CorsConfig,0,84,0,0,0,11,0,2,0,2
API Gateway,com.claimswift.gateway.config,RateLimiterConfig,26,7,4,0,5,3,4,3,2,3
