GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Claim Service,com.claimswift.claimservice.filter,CorrelationIdFilter.new HttpServletRequestWrapper() {...},48,0,4,0,10,0,6,0,4,0
Claim Service,com.claimswift.claimservice.filter,CorrelationIdFilter,37,3,4,0,10,1,4,1,2,1
Claim Service,com.claimswift.claimservice.mapper,ClaimMapper,194,0,8,0,52,0,9,0,5,0
Claim Service,com.claimswift.claimservice.controller,ClaimController,481,77,24,0,86,16,40,8,28,8
Claim Service,com.claimswift.claimservice,ClaimServiceApplication,5,3,0,0,2,1,1,1,1,1
Claim Service,com.claimswift.claimservice.service,ClaimService,305,1909,52,126,74,484,62,94,10,57
Claim Service,com.claimswift.claimservice.util,StandardResponse,58,25,12,0,19,13,15,3,6,3
Claim Service,com.claimswift.claimservice.config,FeignErrorDecoder,34,0,3,0,8,0,5,0,3,0
Claim Service,com.claimswift.claimservice.config,FeignConfig,87,0,16,0,21,0,14,0,6,0
Claim Service,com.claimswift.claimservice.entity,ClaimAuditEvent.AuditAction,0,54,0,0,0,6,0,1,0,1
Claim Service,com.claimswift.claimservice.entity,Claim.ClaimStatus,0,84,0,0,0,9,0,1,0,1
Claim Service,com.claimswift.claimservice.entity,Claim,0,10,0,0,0,4,0,1,0,1
Claim Service,com.claimswift.claimservice.exception,GlobalExceptionHandler,245,7,6,0,44,2,14,2,11,2
Claim Service,com.claimswift.claimservice.exception,ClaimNotFoundException,15,0,0,0,6,0,3,0,3,0
Claim Service,com.claimswift.claimservice.security,SecurityConfig,111,0,0,0,21,0,6,0,6,0
Claim Service,com.claimswift.claimservice.security,JwtAuthenticationFilter,101,4,8,0,23,1,6,1,2,1
Claim Service,com.claimswift.claimservice.security,JwtTokenProvider,144,0,12,0,37,0,16,0,10,0
