GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Payment Service - Simulated Payment Gateway (Sandbox),com.claimswift.paymentservice.util,StandardResponse,46,0,4,0,16,0,8,0,6,0
Payment Service - Simulated Payment Gateway (Sandbox),com.claimswift.paymentservice,PaymentServiceApplication,5,3,0,0,2,1,1,1,1,1
Payment Service - Simulated Payment Gateway (Sandbox),com.claimswift.paymentservice.controller,PaymentController,180,4,6,0,30,1,12,1,9,1
Payment Service - Simulated Payment Gateway (Sandbox),com.claimswift.paymentservice.security,JwtTokenProvider,129,7,12,0,42,2,11,2,5,2
Payment Service - Simulated Payment Gateway (Sandbox),com.claimswift.paymentservice.security,JwtAuthenticationFilter,73,25,6,2,14,8,4,3,0,3
Payment Service - Simulated Payment Gateway (Sandbox),com.claimswift.paymentservice.security,SecurityConfig,0,81,0,0,0,17,0,5,0,5
Payment Service - Simulated Payment Gateway (Sandbox),com.claimswift.paymentservice.service,PaymentService,113,978,35,71,28,222,32,55,1,33
Payment Service - Simulated Payment Gateway (Sandbox),com.claimswift.paymentservice.service,PaymentService.PaymentSimulationResult,0,35,0,0,0,10,0,10,0,10
Payment Service - Simulated Payment Gateway (Sandbox),com.claimswift.paymentservice.entity,PaymentTransaction.PaymentStatus,0,84,0,0,0,9,0,1,0,1
Payment Service - Simulated Payment Gateway (Sandbox),com.claimswift.paymentservice.entity,PaymentTransaction.PaymentMethod,0,64,0,0,0,7,0,1,0,1
Payment Service - Simulated Payment Gateway (Sandbox),com.claimswift.paymentservice.filter,CorrelationIdFilter.new HttpServletRequestWrapper() {...},3,45,1,3,1,9,1,5,0,4
Payment Service - Simulated Payment Gateway (Sandbox),com.claimswift.paymentservice.filter,CorrelationIdFilter,3,37,3,1,0,11,2,3,0,3
Payment Service - Simulated Payment Gateway (Sandbox),com.claimswift.paymentservice.config,FeignConfig,65,7,14,0,13,3,8,3,1,3
Payment Service - Simulated Payment Gateway (Sandbox),com.claimswift.paymentservice.exception,GlobalExceptionHandler,230,7,6,0,46,2,15,2,12,2
